id,name,messiahLine,levitical,judge,initiallyVisible,hadCollapsedChildren,age,yearsLived,born,died,tribe,spouse,refs,tooltipRaw
916,Jemuel (or Nemuel),false,false,false,false,false,,,,,,,Genesis 46:10; Exodus 6:15,"Jemuel (or Nemuel)

(Genesis 46:10, Exodus 6:15, 1 Chronicles 4:24)"
917,Bela,false,false,false,false,false,,,,,,,,(1 Chronicles 5:7)
918,Zechariah,false,false,false,false,false,,,,,,,,(1 Chronicles 5:7)
919,Jeiel,false,false,false,false,false,,,,,,,,(1 Chronicles 5:7)
920,Azaz,false,false,false,false,false,,,,,,,,"Azaz

(1 Chronicles 5:7)"
921,Beerah,false,false,false,false,false,,,,,,,,"Beerah

(1 Chronicles 5:6)Tilgath-pilneser of Assyria carried him away into exile."
922,Baal,false,false,false,false,false,,,,,,,,(1 Chronicles 5:5)
923,Reaiah,false,false,false,false,false,,,,,,,,(1 Chronicles 5:5)
924,Micah,false,false,false,false,false,,,,,,,,(1 Chronicles 5:5)
925,Shimei,false,false,false,false,false,,,,,,,,(1 Chronicles 5:4)
926,Gog,false,false,false,false,false,,,,,,,,"Gog

(1 Chronicles 5:4)"
927,Shemaiah (or Shema),false,false,false,false,false,,,,,,,,"Shemaiah (or Shema)

(1 Chronicles 5:4)"
928,Joel,false,false,false,false,false,,,,,,,,(1 Chronicles 5:4)
929,Carmites,false,false,false,false,false,,,,,,,Numbers 26:6,"Carmites

(Numbers 26:6)"
930,Carmi,false,false,false,false,false,,,,,,,Genesis 46:9,"(Genesis 46:9, 1 Chronicles 4:1, 1 Chronicles 5:3)"
931,Hezronites,false,false,false,false,false,,,,,,,Numbers 26:6,"Hezronites

(Numbers 26:6)"
932,Hezron,true,false,false,false,false,,,,,,,Genesis 46:9,"(Genesis 46:9, 1 Chronicles 4:1, 1 Chronicles 5:3)"
933,Palluites,false,false,false,false,false,,,,,,,Numbers 26:5,"Palluites

(Numbers 26:5)"
934,Abiram,false,false,false,false,false,,,,,,,Numbers 26:9,"Abiram

(Numbers 26:9)

Abiram (and Dathan) contended against Moses and Aaron (Numbers 26:9)"
935,Dathan,false,false,false,false,false,,,,,,,Numbers 26:9,"Dathan

(Numbers 26:9)

Dathan (and Abiram) contended against Moses and Aaron (Numbers 26:9)"
936,Nemuel,false,false,false,false,false,,,,,,,Numbers 26:9,"Nemuel

(Numbers 26:9)"
937,Eliab,false,false,false,false,false,,,,,,,Numbers 26:8,(Numbers 26:8)
938,Pallu,false,false,false,false,false,,,,,,,Genesis 46:9,"Pallu

(Genesis 46:9, 1 Chronicles 5:3)"
939,Hanochites,false,false,false,false,false,,,,,,,Numbers 26:5,"Hanochites

(Numbers 26:5)"
940,Hanoch,false,false,false,false,false,,,,,,,Genesis 46:9,"(Genesis 46:9, 1 Chronicles 5:3)"
941,Mizzah,false,false,false,false,false,,,,,,,Genesis 36:13,"Mizzah

(Genesis 36:13, 36:17, 1 Chronicles 1:37)"
942,Shammah,false,false,false,false,false,,,,,,,Genesis 36:13,"Shammah

(Genesis 36:13, 36:17, 1 Chronicles 1:37)"
943,Zerah,false,false,false,false,false,,,,,,,Genesis 36:13,"(Genesis 36:13, 36:17, 1 Chronicles 1:37)"
944,Nahath,false,false,false,false,false,,,,,,,Genesis 36:13,"(Genesis 36:13, 36:17, 1 Chronicles 1:37)"
945,Basemath,false,false,false,false,false,,,,,,,Genesis 36:3,"Basemath

(Genesis 36:3)"
946,Mahalath,false,false,false,false,false,,,,,,,Genesis 28:9,"Mahalath

(Genesis 28:9)"
947,Kedemah,false,false,false,false,false,,,,,,,Genesis 25:14,"Kedemah

(Genesis 25:14, 1 Chronicles 1:29-31)"
948,Naphish,false,false,false,false,false,,,,,,,Genesis 25:14,"Naphish

(Genesis 25:14, 1 Chronicles 1:29-31)"
949,Jetur,false,false,false,false,false,,,,,,,Genesis 25:14,"Jetur

(Genesis 25:14, 1 Chronicles 1:29-31)"
950,Tema,false,false,false,false,false,,,,,,,Genesis 25:14,"Tema

(Genesis 25:14, 1 Chronicles 1:29-31)"
951,Hadar,false,false,false,false,false,,,,,,,Genesis 25:14,"Hadar

(Genesis 25:14, 1 Chronicles 1:29-31)"
952,Massa,false,false,false,false,false,,,,,,,Genesis 25:14,"Massa

(Genesis 25:14, 1 Chronicles 1:29-31)"
953,Dumah,false,false,false,false,false,,,,,,,Genesis 25:14,"Dumah

(Genesis 25:14, 1 Chronicles 1:29-31)"
954,Mishma,false,false,false,false,false,,,,,,,Genesis 25:14,"Mishma

(Genesis 25:14, 1 Chronicles 1:29-31)"
955,Mibsam,false,false,false,false,false,,,,,,,Genesis 25:13,"(Genesis 25:13, 1 Chronicles 1:29-31)"
956,Adbeel,false,false,false,false,false,,,,,,,Genesis 25:13,"Adbeel

(Genesis 25:13, 1 Chronicles 1:29-31)"
957,Kedar,false,false,false,false,false,,,,,,,Genesis 25:13,"Kedar

(Genesis 25:13, 1 Chronicles 1:29-31)"
958,Nebaioth,false,false,false,false,false,,,,,,,Genesis 25:13,"Nebaioth

(Genesis 25:13, 1 Chronicles 1:29-31)"
959,Jobab,false,false,false,false,false,,,,,,,Genesis 10:26,"(Genesis 10:26-29, 1 Chronicles 1:20-23)"
960,Havilah,false,false,false,false,false,,,,,,,Genesis 10:26,"(Genesis 10:26-29, 1 Chronicles 1:20-23)"
961,Ophir,false,false,false,false,false,,,,,,,Genesis 10:26,"Ophir

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
962,Sheba,false,false,false,false,false,,,,,,,Genesis 10:26,"(Genesis 10:26-29, 1 Chronicles 1:20-23)"
963,Abimael,false,false,false,false,false,,,,,,,Genesis 10:26,"Abimael

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
964,Obal (or Ebal),false,false,false,false,false,,,,,,,Genesis 10:26,"Obal (or Ebal)

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
965,Diklah,false,false,false,false,false,,,,,,,Genesis 10:26,"Diklah

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
966,Uzal,false,false,false,false,false,,,,,,,Genesis 10:26,"Uzal

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
967,Hadoram,false,false,false,false,false,,,,,,,Genesis 10:26,"Hadoram

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
968,Jerah,false,false,false,false,false,,,,,,,Genesis 10:26,"Jerah

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
969,Hazarmaveth,false,false,false,false,false,,,,,,,Genesis 10:26,"Hazarmaveth

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
970,Sheleph,false,false,false,false,false,,,,,,,Genesis 10:26,"Sheleph

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
971,Almodad,false,false,false,false,false,,,,,,,Genesis 10:26,"Almodad

(Genesis 10:26-29, 1 Chronicles 1:20-23)"
972,Naamah,false,false,false,false,false,,,,,,,Genesis 4:22,"Naamah

(Genesis 4:22)"
973,Tubal-Cain,false,false,false,false,false,,,,,,,Genesis 4:22,"Tubal-Cain

He was the forger of all implements of bronze and iron (Genesis 4:22)"
974,Jubal,false,false,false,false,false,,,,,,,Genesis 4:21,"Jubal

He was the father of all those who play the lyre and pipe (Genesis 4:21)"
975,Jabal,false,false,false,false,false,,,,,,,Genesis 4:20,"Jabal

He was the father of those who dwell in tents and have livestock (Genesis 4:20)"
976,Dodanim (or Rodanim),false,false,false,false,false,,,,,,,Genesis 10:4,"Dodanim (or Rodanim)

(Genesis 10:4, 1 Chronicles 1:7)"
977,Kittim,false,false,false,false,false,,,,,,,Genesis 10:4,"Kittim

(Genesis 10:4, 1 Chronicles 1:7)"
978,Tarshish,false,false,false,false,false,,,,,,,Genesis 10:4,"(Genesis 10:4, 1 Chronicles 1:7)"
979,Elishah,false,false,false,false,false,,,,,,,Genesis 10:4,"Elishah

(Genesis 10:4, 1 Chronicles 1:7)"
980,Togarmah,false,false,false,false,false,,,,,,,Genesis 10:3,"Togarmah

(Genesis 10:3, 1 Chronicles 1:6)"
981,Riphath,false,false,false,false,false,,,,,,,Genesis 10:3,"Riphath

(Genesis 10:3, 1 Chronicles 1:6)"
982,Ashkenaz,false,false,false,false,false,,,,,,,Genesis 10:3,"Ashkenaz

(Genesis 10:3, 1 Chronicles 1:6)"
983,Ziza,false,false,false,false,false,,,,,,,,"Ziza

(1 Chronicles 4:37)"
984,Shiphi,false,false,false,false,false,,,,,,,,"Shiphi

(1 Chronicles 4:37)"
985,Allon,false,false,false,false,false,,,,,,,,"Allon

(1 Chronicles 4:37)"
986,Jedaiah,false,false,false,false,false,,,,,,,,"Jedaiah

(1 Chronicles 4:37)"
987,Shimri,false,false,false,false,false,,,,,,,,"Shimri

(1 Chronicles 4:37)"
988,Shemaiah,false,false,false,false,false,,,,,,,,(1 Chronicles 4:37)
989,Benaiah,false,false,false,false,false,,,,,,,,"Benaiah

(1 Chronicles 4:36)"
990,Jesimiel,false,false,false,false,false,,,,,,,,"Jesimiel

(1 Chronicles 4:36)"
991,Adiel,false,false,false,false,false,,,,,,,,"Adiel

(1 Chronicles 4:36)"
992,Asaiah,false,false,false,false,false,,,,,,,,"Asaiah

(1 Chronicles 4:36)"
993,Jeshohaiah,false,false,false,false,false,,,,,,,,"Jeshohaiah

(1 Chronicles 4:36)"
994,Jaakobah,false,false,false,false,false,,,,,,,,"Jaakobah

(1 Chronicles 4:36)"
995,Elioenai,false,false,false,false,false,,,,,,,,(1 Chronicles 4:36)
996,Jehu,false,false,false,false,false,,,,,,,,(1 Chronicles 4:35)
997,Joshibiah,false,false,false,false,false,,,,,,,,"Joshibiah

(1 Chronicles 4:35)"
998,Seraiah,false,false,false,false,false,,,,,,,,(1 Chronicles 4:35)
999,Asiel,false,false,false,false,false,,,,,,,,"Asiel

(1 Chronicles 4:35)"
1000,Joel,false,false,false,false,false,,,,,,,,(1 Chronicles 4:35)
1001,Joshah,false,false,false,false,false,,,,,,,,"Joshah

(1 Chronicles 4:34)"
1002,Amaziah,false,false,false,false,false,,,,,,,,(1 Chronicles 4:34)
1003,Jamlech,false,false,false,false,false,,,,,,,,"Jamlech

(1 Chronicles 4:34)"
1004,Meshobab,false,false,false,false,false,,,,,,,,"Meshobab

(1 Chronicles 4:34)"
1005,Sixteen sons and six daughters,false,false,false,false,false,,,,,,,,"Sixteen sons and six daughters

(1 Chronicles 4:27)"
Individual- all child information shown (click or touch to collapse),Individual- all child information shown (click or touch to collapse),false,false,false,true,false,,,,,,,,
Individual- child information hidden (click or touch to expand),Individual- child information hidden (click or touch to expand),false,false,false,true,false,,,,,,,,
